booking_id,country_code,booking_policy,fulfilment_info,employee_id,customer_id,service_ids,salon_id,updated,status,created,currency_code,price
3208013,DE,"{""rescheduleCutOff"":""1H"",""cancellationCutOff"":""1H""}","{""bookingDate"":""2023-01-05"",""startTime"":""16:45:00"",""treatmentDurationMinutes"":""15"",""venueTimezone"":""Europe/Berlin""}",2841163,74048,"[{""service"":""100148065""},{""service"":""100148066""},{""service"":""100148064""}]",31342,2023-01-01 00:34:08,confirmed,2022-12-19 08:56:14,EUR,130.12
716662,DE,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-12"",""startTime"":""15:15:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/Berlin""}",1327412,2039777,"[{""service"":""99934506""}]",28710,2023-01-01 00:34:31,confirmed,2022-12-10 00:33:20,EUR,0.84
1537142,DE,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-03"",""startTime"":""10:30:00"",""treatmentDurationMinutes"":""15"",""venueTimezone"":""Europe/Berlin""}",,1081144,"[{""service"":""99917952""}]",39719,2023-01-01 00:34:36,placed,2022-12-23 11:29:00,EUR,159.44
2341285,ES,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-02"",""startTime"":""10:00:00"",""treatmentDurationMinutes"":""30"",""venueTimezone"":""Europe/Madrid""}",4677435,2091984,"[{""service"":""101819247""},{""service"":""101819248""},{""service"":""101819249""}]",5296,2023-01-01 00:34:54,placed,2022-12-13 17:45:31,EUR,177.18
1885689,ES,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-02"",""startTime"":""18:10:00"",""treatmentDurationMinutes"":""35"",""venueTimezone"":""Europe/Madrid""}",4887722,2349102,"[{""service"":""101819204""},{""service"":""101819205""},{""service"":""101819206""}]",10596,2023-01-01 00:35:18,placed,2022-12-28 01:53:43,EUR,147.72
3101192,ES,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-04"",""startTime"":""12:00:00"",""treatmentDurationMinutes"":""75"",""venueTimezone"":""Europe/Madrid""}",4749927,4253771,"[{""service"":""101796668""},{""service"":""101796669""},{""service"":""101796670""}]",32887,2023-01-01 00:38:04,cancelled,2022-12-07 19:16:40,EUR,68.07
3749303,ES,"{""rescheduleCutOff"":""1H"",""cancellationCutOff"":""1H""}","{""bookingDate"":""2023-01-02"",""startTime"":""19:00:00"",""treatmentDurationMinutes"":""90"",""venueTimezone"":""Europe/Madrid""}",2916206,2544744,"[{""service"":""101819115""},{""service"":""101819116""},{""service"":""101819113""},{""service"":""101819114""}]",18800,2023-01-01 00:38:43,refunded,2022-12-10 06:01:42,EUR,104.56
4029441,FR,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-04"",""startTime"":""11:45:00"",""treatmentDurationMinutes"":""75"",""venueTimezone"":""Europe/Paris""}",3489541,4600799,"[{""service"":""101819147""},{""service"":""101819148""},{""service"":""101819149""}]",9422,2023-01-01 00:40:57,cancelled,2022-12-17 13:24:17,EUR,93.05
614435,FR,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-19"",""startTime"":""20:30:00"",""treatmentDurationMinutes"":""45"",""venueTimezone"":""Europe/Paris""}",326736,4299047,"[{""service"":""101511642""},{""service"":""101511646""},{""service"":""101511645""},{""service"":""101511644""},{""service"":""101511643""}]",38656,2023-01-01 00:40:58,refunded,2022-12-12 18:13:38,EUR,136.47
126174,GB,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-02"",""startTime"":""14:45:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/London""}",1397156,4657838,"[{""service"":""101263654""},{""service"":""101263653""},{""service"":""101263655""}]",31191,2023-01-01 00:41:21,refunded,2022-12-19 18:36:16,GBP,6.83
2822757,GB,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-05"",""startTime"":""13:00:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/London""}",1173777,1703772,"[{""service"":""101810312""},{""service"":""101810313""},{""service"":""101810314""}]",35564,2023-01-01 00:42:52,confirmed,2022-12-24 10:53:02,GBP,100.93
4992175,GB,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-02"",""startTime"":""10:00:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/London""}",1555989,3831563,"[{""service"":""101748994""},{""service"":""101748997""},{""service"":""101748996""},{""service"":""101748995""}]",38698,2023-01-01 00:44:05,refunded,2022-12-21 04:21:25,GBP,69.23
3453593,GB,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-20"",""startTime"":""10:00:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/London""}",2007778,3161086,"[{""service"":""101794914""},{""service"":""101794913""},{""service"":""101794912""}]",15132,2023-01-01 00:44:45,placed,2022-12-20 15:32:07,GBP,37.71
1599771,GB,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-27"",""startTime"":""10:45:00"",""treatmentDurationMinutes"":""55"",""venueTimezone"":""Europe/London""}",332832,3617332,"[{""service"":""101317047""},{""service"":""101317044""},{""service"":""101317045""},{""service"":""101317046""}]",29574,2023-01-01 00:46:51,cancelled,2022-12-08 14:28:20,GBP,102.85
1099392,GB,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-02"",""startTime"":""11:30:00"",""treatmentDurationMinutes"":""105"",""venueTimezone"":""Europe/London""}",,4553669,"[{""service"":""101779966""},{""service"":""101779965""},{""service"":""101779964""}]",32042,2023-01-01 00:48:07,confirmed,2022-12-15 19:07:57,GBP,103.09
3444429,GB,"{""rescheduleCutOff"":""2H"",""cancellationCutOff"":""4H""}","{""bookingDate"":""2023-01-01"",""startTime"":""17:00:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/London""}",3023367,1276469,"[{""service"":""101245321""},{""service"":""101245320""},{""service"":""101245319""}]",19895,2023-01-01 00:48:22,placed,2022-12-16 09:38:25,GBP,52.06
1773887,GB,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-03"",""startTime"":""9:00:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/London""}",794576,1657175,"[{""service"":""100836548""},{""service"":""100836547""},{""service"":""100836549""}]",35977,2023-01-01 00:50:28,confirmed,2022-12-06 19:08:37,GBP,90.37
3493164,GB,"{""rescheduleCutOff"":""2H"",""cancellationCutOff"":""4H""}","{""bookingDate"":""2023-01-02"",""startTime"":""11:00:00"",""treatmentDurationMinutes"":""45"",""venueTimezone"":""Europe/London""}",805174,4462779,"[{""service"":""101653020""},{""service"":""101653019""},{""service"":""101653021""},{""service"":""101653018""}]",25514,2023-01-01 00:52:41,refunded,2022-12-17 07:49:15,GBP,176.67
2411237,GB,"{""rescheduleCutOff"":""2H"",""cancellationCutOff"":""4H""}","{""bookingDate"":""2023-01-28"",""startTime"":""14:45:00"",""treatmentDurationMinutes"":""5"",""venueTimezone"":""Europe/London""}",,253892,"[{""service"":""87603922""},{""service"":""87603921""}]",28692,2023-01-01 00:52:42,placed,2022-12-26 16:31:41,GBP,28.29
953771,GB,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-04"",""startTime"":""17:30:00"",""treatmentDurationMinutes"":""105"",""venueTimezone"":""Europe/London""}",,4979420,"[{""service"":""87603913""}]",33546,2023-01-01 00:53:00,cancelled,2022-12-06 02:43:23,GBP,169.35
3882874,GB,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-02"",""startTime"":""11:00:00"",""treatmentDurationMinutes"":""50"",""venueTimezone"":""Europe/London""}",,1760433,"[{""service"":""87603932""}]",37050,2023-01-01 00:58:04,refunded,2022-12-31 17:42:37,GBP,45.47
602393,GB,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-03"",""startTime"":""12:05:00"",""treatmentDurationMinutes"":""45"",""venueTimezone"":""Europe/London""}",331621,3791950,"[{""service"":""87604480""}]",910,2023-01-01 00:59:20,confirmed,2022-12-25 11:47:47,GBP,130.03
189751,GB,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-02"",""startTime"":""11:00:00"",""treatmentDurationMinutes"":""30"",""venueTimezone"":""Europe/London""}",112948,954784,"[{""service"":""87604494""}]",39900,2023-01-01 00:59:47,refunded,2022-12-07 16:34:26,GBP,27.75
274577,GB,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-02"",""startTime"":""12:00:00"",""treatmentDurationMinutes"":""30"",""venueTimezone"":""Europe/London""}",3361832,3879768,"[{""service"":""87604518""}]",31793,2023-01-01 01:00:05,confirmed,2022-12-28 15:36:56,GBP,89.4
1839053,GB,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-04"",""startTime"":""16:30:00"",""treatmentDurationMinutes"":""30"",""venueTimezone"":""Europe/London""}",274447,984473,"[{""service"":""24454303""},{""service"":""24454301""},{""service"":""24454299""}]",26411,2023-01-01 01:00:42,refunded,2022-12-19 05:30:22,GBP,169.37
2481897,GB,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-02"",""startTime"":""13:35:00"",""treatmentDurationMinutes"":""30"",""venueTimezone"":""Europe/London""}",4792507,4189555,"[{""service"":""81551669""},{""service"":""81551668""},{""service"":""81551667""}]",32346,2023-01-01 01:03:35,refunded,2022-12-07 20:50:45,GBP,101.62
933459,GB,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-02"",""startTime"":""11:30:00"",""treatmentDurationMinutes"":""45"",""venueTimezone"":""Europe/London""}",4833571,2823790,"[{""service"":""70955760""},{""service"":""70955759""},{""service"":""70955761""}]",20587,2023-01-01 01:05:05,refunded,2022-12-31 00:21:59,GBP,174.84
4422917,GB,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-02"",""startTime"":""10:00:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/London""}",4265149,2086959,"[{""service"":""19328244""},{""service"":""19328243""},{""service"":""19328245""}]",20201,2023-01-01 01:06:08,cancelled,2022-12-13 18:55:18,GBP,53.06
263219,GB,"{""rescheduleCutOff"":""2H"",""cancellationCutOff"":""4H""}","{""bookingDate"":""2023-01-03"",""startTime"":""14:50:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/London""}",85736,278997,"[{""service"":""6625030""},{""service"":""6625029""},{""service"":""6625028""},{""service"":""6625027""}]",16786,2023-01-01 01:06:25,cancelled,2022-12-14 16:32:41,GBP,199.69
480527,GB,"{""rescheduleCutOff"":""1H"",""cancellationCutOff"":""1H""}","{""bookingDate"":""2023-01-02"",""startTime"":""18:15:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/London""}",,1041973,"[{""service"":""68979116""},{""service"":""68979115""}]",29878,2023-01-01 01:11:20,confirmed,2022-12-29 18:08:06,GBP,91.72
3417680,GB,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-01"",""startTime"":""15:15:00"",""treatmentDurationMinutes"":""20"",""venueTimezone"":""Europe/London""}",,4040576,"[{""service"":""84320518""},{""service"":""84320520""},{""service"":""84320519""}]",9013,2023-01-01 01:11:24,placed,2022-12-25 05:17:25,GBP,54.35
3231464,GB,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-02"",""startTime"":""13:00:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/London""}",4911113,395641,"[{""service"":""2710298""},{""service"":""2710299""},{""service"":""2710300""}]",14156,2023-01-01 01:11:58,confirmed,2022-12-12 11:17:12,GBP,61.35
3683938,LT,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-03"",""startTime"":""12:00:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/Vilnius""}",,2826413,"[{""service"":""38787057""},{""service"":""38787058""},{""service"":""38787056""}]",12512,2023-01-01 01:12:09,cancelled,2022-12-06 11:13:24,EUR,144.73
1331961,LT,"{""rescheduleCutOff"":""2H"",""cancellationCutOff"":""4H""}","{""bookingDate"":""2023-01-05"",""startTime"":""12:15:00"",""treatmentDurationMinutes"":""15"",""venueTimezone"":""Europe/Vilnius""}",4524001,1768254,"[{""service"":""4864161""},{""service"":""4864162""}]",5351,2023-01-01 01:14:17,cancelled,2022-12-11 03:30:11,EUR,130.62
3994770,LT,"{""rescheduleCutOff"":""24H"",""cancellationCutOff"":""48H""}","{""bookingDate"":""2023-01-16"",""startTime"":""18:30:00"",""treatmentDurationMinutes"":""45"",""venueTimezone"":""Europe/Vilnius""}",1655568,4829408,"[{""service"":""23047749""},{""service"":""23047748""}]",37206,2023-01-01 01:15:30,confirmed,2022-12-16 18:30:14,EUR,23.01
1349141,LT,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-07"",""startTime"":""10:00:00"",""treatmentDurationMinutes"":""30"",""venueTimezone"":""Europe/Vilnius""}",3866533,894934,"[{""service"":""42836628""},{""service"":""42836629""}]",26252,2023-01-01 01:16:14,placed,2022-12-16 07:36:29,EUR,174.21
1883824,NL,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-05"",""startTime"":""12:15:00"",""treatmentDurationMinutes"":""15"",""venueTimezone"":""Europe/Amsterdam""}",,931711,"[{""service"":""92193960""},{""service"":""92193962""},{""service"":""92193961""}]",3235,2023-01-01 01:18:10,confirmed,2022-12-13 06:11:55,EUR,92.58
4965846,NL,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-04"",""startTime"":""17:45:00"",""treatmentDurationMinutes"":""30"",""venueTimezone"":""Europe/Amsterdam""}",,4449246,"[{""service"":""75117271""},{""service"":""75117272""},{""service"":""75117270""}]",26129,2023-01-01 01:21:16,cancelled,2022-12-12 06:03:19,EUR,139.31
1129552,NL,"{""rescheduleCutOff"":""12H"",""cancellationCutOff"":""24H""}","{""bookingDate"":""2023-01-05"",""startTime"":""15:00:00"",""treatmentDurationMinutes"":""100"",""venueTimezone"":""Europe/Amsterdam""}",196479,2100622,"[{""service"":""53215135""},{""service"":""53215136""},{""service"":""53215134""}]",35522,2023-01-01 01:21:32,confirmed,2022-12-02 17:11:28,EUR,12.05
537273,NL,"{""rescheduleCutOff"":""2H"",""cancellationCutOff"":""4H""}","{""bookingDate"":""2023-01-21"",""startTime"":""10:00:00"",""treatmentDurationMinutes"":""60"",""venueTimezone"":""Europe/Amsterdam""}",4022075,3968321,"[{""service"":""42836628""},{""service"":""42836629""}]",37219,2023-01-01 01:21:55,refunded,2022-12-18 18:53:22,EUR,23.42
