salon_id,salon_name,status,channel,description,location_id,url,venuetypeid,venuesubtypeids,phone,email,customerserviceemail,employeeselectionallowed,maxavailabilityperioddays,country,created_date,updated
700236,"Hammes, Green and Konopelski",Active,Social Media,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",19,treatwell.com/mock/700236,Type 1,Subtype 3,844-864-1486,hammesgreenandkonopelski@fakemail.com,hammesgreenandkonopelski@fakemail.com,FALSE,176,France,2014-03-05 14:47:13,2020-04-06 09:17:31
700242,Lindgren Inc,On Hold,Offline,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",65,treatwell.com/mock/700242,Type 2,Subtype 1,420-541-3654,lindgreninc@fakemail.com,lindgreninc@fakemail.com,FALSE,264,France,2014-03-05 14:52:10,2020-04-06 09:17:31
700255,Weber-Senger,Inactive,Offline,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",36,treatwell.com/mock/700255,Type 2,Subtype 3,292-698-1514,weber-senger@fakemail.com,weber-senger@fakemail.com,TRUE,338,France,2014-03-05 14:59:11,2020-04-06 09:17:31
700281,Bednar LLC,On Hold,Offline,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",78,treatwell.com/mock/700281,Type 2,Subtype 1,271-368-7691,bednarllc@fakemail.com,bednarllc@fakemail.com,TRUE,227,France,2014-03-05 15:26:34,2020-04-06 09:17:31
700285,VonRueden-Considine,On Hold,Offline,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",20,treatwell.com/mock/700285,Type 2,Subtype 2,381-157-1944,vonrueden-considine@fakemail.com,vonrueden-considine@fakemail.com,TRUE,196,France,2014-03-05 15:44:45,2020-04-06 09:17:31
700287,"Mohr, Haley and Walter",On Hold,Online,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",15,treatwell.com/mock/700287,Type 1,Subtype 1,579-651-5570,mohrhaleyandwalter@fakemail.com,mohrhaleyandwalter@fakemail.com,TRUE,218,France,2014-03-05 15:45:43,2020-04-06 09:17:31
700292,Botsford-Wehner,Inactive,Social Media,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",95,treatwell.com/mock/700292,Type 2,Subtype 2,896-671-1158,botsford-wehner@fakemail.com,botsford-wehner@fakemail.com,FALSE,129,France,2014-03-05 15:49:09,2020-04-06 09:17:31
700295,Halvorson Group,Inactive,Online,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,77,treatwell.com/mock/700295,Type 3,Subtype 3,716-397-7643,halvorsongroup@fakemail.com,halvorsongroup@fakemail.com,TRUE,210,France,2014-03-05 15:50:29,2017-06-22 07:36:07
700302,Ebert-Crist,Active,Marketplace,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,25,treatwell.com/mock/700302,Type 3,Subtype 2,944-524-9780,ebert-crist@fakemail.com,ebert-crist@fakemail.com,FALSE,193,France,2014-03-05 15:56:22,2020-04-06 09:17:31
700326,Beer-Windler,On Hold,Online,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",28,treatwell.com/mock/700326,Type 3,Subtype 2,507-472-2162,beer-windler@fakemail.com,beer-windler@fakemail.com,TRUE,94,Italy,2014-03-05 16:17:11,2020-04-06 09:17:31
700328,Mosciski-Kuhn,Inactive,Social Media,Phasellus in felis. Donec semper sapien a libero. Nam dui.,47,treatwell.com/mock/700328,Type 2,Subtype 1,978-436-5711,mosciski-kuhn@fakemail.com,mosciski-kuhn@fakemail.com,TRUE,358,France,2014-03-05 16:18:50,2020-04-06 09:17:31
700335,"Breitenberg, Beahan and Greenholt",On Hold,Social Media,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",4,treatwell.com/mock/700335,Type 2,Subtype 1,229-543-0468,breitenbergbeahanandgreenholt@fakemail.com,breitenberg@fakemail.com,FALSE,355,France,2014-03-05 16:23:49,2020-04-06 09:17:31
700351,Skiles-Vandervort,On Hold,Offline,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",21,treatwell.com/mock/700351,Type 2,Subtype 1,715-536-2795,skiles-vandervort@fakemail.com,skiles-vandervort@fakemail.com,TRUE,192,Germany,2014-03-05 16:36:22,2020-04-06 09:17:31
700366,Lind-Daugherty,Inactive,Online,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",39,treatwell.com/mock/700366,Type 3,Subtype 1,165-795-8911,lind-daugherty@fakemail.com,lind-daugherty@fakemail.com,TRUE,285,France,2014-03-05 17:08:09,2020-04-06 09:17:31
700385,Nader-Johnston,On Hold,Social Media,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",58,treatwell.com/mock/700385,Type 3,Subtype 3,493-807-9035,nader-johnston@fakemail.com,nadern@fakemail.com,FALSE,121,France,2014-03-05 17:26:07,2020-04-06 09:17:31
700398,Ernser-Kovacek,Inactive,Social Media,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",68,treatwell.com/mock/700398,Type 1,Subtype 1,170-720-4286,ernser-kovacek@fakemail.com,ernser-kovacek@fakemail.com,FALSE,112,France,2014-03-05 17:57:42,2020-04-06 09:17:31
700428,Leuschke-Bogan,Inactive,Marketplace,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",47,treatwell.com/mock/700428,Type 2,Subtype 2,975-883-2554,leuschke-bogan@fakemail.com,leuschke-bogan@fakemail.com,FALSE,121,France,2014-03-05 18:27:54,2020-04-06 09:17:31
700430,Feeney LLC,Inactive,Social Media,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",45,treatwell.com/mock/700430,Type 2,Subtype 1,950-431-8584,feeneyllc@fakemail.com,feeneyllc@fakemail.com,TRUE,280,France,2014-03-05 18:29:26,2017-06-22 07:36:07
700432,"Larkin, Waelchi and Kutch",On Hold,Social Media,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",1,treatwell.com/mock/700432,Type 3,Subtype 2,491-474-0030,larkinwaelchiandkutch@fakemail.com,larkinwaelchiandkutch@fakemail.com,TRUE,296,France,2014-03-05 18:31:39,2017-06-22 07:36:07
700444,Schoen-King,On Hold,Social Media,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",73,treatwell.com/mock/700444,Type 1,Subtype 3,588-565-4721,schoen-king@fakemail.com,schoen-king@fakemail.com,TRUE,228,France,2014-03-05 18:51:31,2020-04-06 09:17:31
700446,"Langworth, Ward and Gleason",On Hold,Social Media,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,6,treatwell.com/mock/700446,Type 1,Subtype 1,977-534-0973,langworthwardandgleason@fakemail.com,langworthwardandgleason@fakemail.com,TRUE,236,France,2014-03-05 18:51:44,2017-06-22 07:36:07
700456,"Yost, Gutkowski and Johnson",Inactive,Social Media,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,100,treatwell.com/mock/700456,Type 2,Subtype 3,589-205-0641,yostgutkowskiandjohnson@fakemail.com,yostgutkowskiandjohnson@fakemail.com,FALSE,109,Germany,2014-03-05 18:57:52,2017-06-22 07:36:07
700457,Wiza LLC,Inactive,Online,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",24,treatwell.com/mock/700457,Type 3,Subtype 1,797-527-4131,wizallc@fakemail.com,wizallc@fakemail.com,FALSE,344,France,2014-03-05 18:58:17,2020-04-06 09:17:31
700479,Conn-Halvorson,On Hold,Online,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,9,treatwell.com/mock/700479,Type 2,Subtype 1,362-907-5780,conn-halvorson@fakemail.com,conn-halvorson@fakemail.com,FALSE,361,France,2014-03-05 19:30:59,2020-04-06 09:17:31
700482,"Bogisich, Harber and Satterfield",Inactive,Offline,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,76,treatwell.com/mock/700482,Type 2,Subtype 2,210-217-5687,bogisichharberandsatterfield@fakemail.com,bogisichharberandsatterfield@fakemail.com,TRUE,293,France,2014-03-05 19:39:40,2020-04-06 09:17:31
700525,"Keebler, Klocko and Grant",Inactive,Online,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",89,treatwell.com/mock/700525,Type 2,Subtype 1,425-591-0669,keeblerklockoandgrant@fakemail.com,keeblerklockoandgrant@fakemail.com,FALSE,115,France,2014-03-05 20:39:31,2020-04-06 09:17:31
700540,Langosh-Schneider,On Hold,Offline,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",86,treatwell.com/mock/700540,Type 2,Subtype 2,775-690-2652,langosh-schneider@fakemail.com,langosh-schneider@fakemail.com,FALSE,170,France,2014-03-05 20:52:47,2020-04-06 09:17:31
700556,Harber-Kilback,Inactive,Marketplace,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,7,treatwell.com/mock/700556,Type 1,Subtype 2,681-444-9328,harber-kilback@fakemail.com,harber-kilback@fakemail.com,FALSE,192,France,2014-03-05 21:10:51,2020-04-06 09:17:31
700558,Turcotte-Little,On Hold,Online,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",73,treatwell.com/mock/700558,Type 1,Subtype 3,750-938-8207,turcotte-little@fakemail.com,turcotte-little@fakemail.com,FALSE,361,France,2014-03-05 21:15:28,2020-04-06 09:17:31
700568,Kemmer Inc,Inactive,Online,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",40,treatwell.com/mock/700568,Type 2,Subtype 3,375-515-8430,kemmerinc@fakemail.com,kemmerinc@fakemail.com,TRUE,306,France,2014-03-05 21:28:47,2020-04-06 09:17:31
700569,Thiel-Raynor,Active,Online,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",1,treatwell.com/mock/700569,Type 2,Subtype 2,410-489-7445,thiel-raynor@fakemail.com,thiel-raynor@fakemail.com,TRUE,147,France,2014-03-05 21:29:07,2017-06-22 07:36:07
700589,"Howe, Price and Thiel",Active,Social Media,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",3,treatwell.com/mock/700589,Type 1,Subtype 3,660-360-3776,howepriceandthiel@fakemail.com,howepriceandthiel@fakemail.com,TRUE,121,Germany,2014-03-05 21:46:17,2020-04-06 09:17:31
700598,Armstrong-Satterfield,Inactive,Offline,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",53,treatwell.com/mock/700598,Type 3,Subtype 2,337-900-6263,armstrong-satterfield@fakemail.com,armstrong-satterfield@fakemail.com,TRUE,155,Spain,2014-03-05 22:04:28,2020-04-06 09:17:31
700604,"Morissette, Russel and Bergnaum",On Hold,Marketplace,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",15,treatwell.com/mock/700604,Type 3,Subtype 1,593-905-4504,morissetterusselandbergnaum@fakemail.com,morissetterusselandbergnaum@fakemail.com,FALSE,182,France,2014-03-05 22:11:53,2020-04-06 09:17:31
700605,Kris-Wisoky,On Hold,Online,Fusce consequat. Nulla nisl. Nunc nisl.,11,treatwell.com/mock/700605,Type 1,Subtype 1,129-740-7247,kris-wisoky@fakemail.com,kris-wisoky@fakemail.com,FALSE,119,France,2014-03-05 22:16:22,2020-04-06 09:17:31
700617,"Bruen, Batz and Borer",On Hold,Marketplace,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",48,treatwell.com/mock/700617,Type 2,Subtype 2,552-812-0515,bruenbatzandborer@fakemail.com,bruenbatzandborer@fakemail.com,TRUE,105,France,2014-03-05 22:29:02,2020-04-06 09:17:31
700619,"VonRueden, Graham and Kulas",Inactive,Offline,In congue. Etiam justo. Etiam pretium iaculis justo.,20,treatwell.com/mock/700619,Type 1,Subtype 2,355-728-1667,vonruedengrahamandkulas@fakemail.com,vonruedengrahamandkulas@fakemail.com,FALSE,347,France,2014-03-05 22:29:07,2020-04-06 09:17:31
700638,Stracke LLC,Inactive,Offline,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",92,treatwell.com/mock/700638,Type 1,Subtype 2,594-211-7744,strackellc@fakemail.com,strackellc@fakemail.com,FALSE,280,France,2014-03-05 22:43:03,2020-04-06 09:17:31
700644,"Sanford, Price and Goyette",Active,Social Media,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",33,treatwell.com/mock/700644,Type 2,Subtype 2,289-182-8360,sanfordpriceandgoyette@fakemail.com,sanfordpriceandgoyette@fakemail.com,TRUE,333,France,2014-03-05 22:48:31,2020-04-06 09:17:31
700656,DuBuque-Wisozk,Active,Social Media,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",22,treatwell.com/mock/700656,Type 2,Subtype 3,285-534-7888,dubuque-wisozk@fakemail.com,dubuque-wisozk@fakemail.com,TRUE,255,Spain,2014-03-05 23:03:11,2017-06-22 07:36:07
